Id,Designator,Package,Quantity,Designation,Supplier and ref,,
1,"J2(POWER&D+D-),J1,J3,J4,J5",JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,5,Conn_01x05_Female,https://www.digikey.in/product-detail/en/jst-sales-america-inc/SM05B-GHS-TB-LF-SN/455-1567-1-ND/807835,,
2,"C36,C4,C44,C45",C_0603_1608Metric,4,1uf/10v,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B105KP8NNNC/1276-1946-1-ND/3890032,,
3,U6,TPS74801-VSON,1,TPS74801-VSON,https://www.digikey.com/product-detail/en/texas-instruments/TPS74801DRCR/296-21563-1-ND/1426949,,
4,SW5,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x04,https://www.digikey.com/product-detail/en/c-k/BD04/CKN3003-ND/181321,,
5,"TP8,TP3,TP4,TP1,TP2,TP5,TP6,TP7",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,8,TestPoint,,,
6,U2,TUSB212-X2QFN,1,TUSB212-X2QFN,https://www.digikey.com/product-detail/en/texas-instruments/TUSB212RWBR/296-50178-1-ND/9462937,,
7,MUX1,HD3SS3220-VQFN-MUX,1,HD3SS3220,https://www.digikey.com/product-detail/en/texas-instruments/HD3SS3220RNHR/296-48293-1-ND/8347712,,
8,"R23,R26",R_0402_1005Metric,2,500 E,https://www.digikey.com/product-detail/en/vishay-dale/PNM0402E5000BST1/541-1905-1-ND/4341875,,
9,"U3,U4",TPD4E05U06-USON,2,TPD4E05U06-USON,https://www.digikey.com/product-detail/en/texas-instruments/TPD4E05U06DQAR/296-35765-1-ND/3996768,,
10,C13,C_0402_1005Metric,1,4.7uf/10v,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM155R61A475MEAAD/490-14306-1-ND/6234742,,
11,"R19,R22,R25",R_0402_1005Metric,3,200 K,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2RKF2003X/P200KLCT-ND/194254,,
12,R16,R_0402_1005Metric,1,4.7K,https://www.digikey.com/product-detail/en/yageo/RC0402JR-074K7L/311-4.7KJRCT-ND/729424,,
13,"D7,D8,D6,D1,D4,D2,D3,D5,D9,D11,D12,D10",LED_0402_1005Metric,12,LED,www.digikey.in/product-detail/en/kingbright/APG0603SYC-TT/754-2025-1-ND/6072772,https://www.digikey.in/product-detail/en/kingbright/APG0603VGC-TT-5MAV/754-2026-1-ND/6072773,https://www.digikey.in/product-detail/en/kingbright/APG0603SEC-E-TT/754-2028-1-ND/6072775
14,"R13,R48,R50,R52,R55,R56",R_0402_1005Metric,6,10 K,https://www.digikey.com/product-detail/en/susumu/RG1005P-103-D-T10/RG10P10.0KDCT-ND/1288021,,
15,"R15,R12",R_0201_0603Metric,2,100K,https://www.digikey.com/product-detail/en/yageo/RC0201FR-07100KL/311-100KMCT-ND/1948965,,
16,R20,R_0402_1005Metric,1,0 E,https://www.digikey.com/product-detail/en/yageo/RC0402FR-070RL/311-0.0LRCT-ND/2827888,,
17,"R18,R17",R_0402_1005Metric,2,100K,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-2AED104X/P100KDECT-ND/1706328,,
18,"R11,R6,R2,R9,R31,R34,R35,R36",R_0402_1005Metric,8,330 E,https://www.digikey.com/product-detail/en/te-connectivity-passive-product/CRGCQ0402J330R/A130045CT-ND/8577877,,
19,R21,R_0201_0603Metric,1,0 E,https://www.digikey.com/product-detail/en/yageo/RC0201JR-070RL/311-0.0NCT-ND/1949004,,
20,"FB1,FB2,FB3",L_0805_2012Metric,3,Ferrite_Bead,www.digikey.in/product-detail/en/murata-electronics-north-america/BLM21PG221SN1D/490-1054-1-ND/574418,,
